eventType,eventID,parentEventID,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,informationWithheld,dataGeneralizations,samplingProtocol,eventDate,eventRemarks,locationID,continent,countryCode,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferenceRemarks
visit,INBO:MEETNET:EVENT:189732,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2018-06-09,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013605,Europe,BE,Kallo Groot Rietveld,51.24168,4.2965,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:231380,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2020-07-20,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017424,Europe,BE,Scheps,51.14761,5.18034,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:247033,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-05-28,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013603,Europe,BE,De Blankaart,50.98801,2.86465,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:201727,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2019-06-20,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017437,Europe,BE,Molenbeek - Pulderbosbeek,51.21816,4.72543,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:255447,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a MULTIPOLYGON to a UTM 1km grid,dragonfly transects,2021-05-29,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013622,Europe,BE,Hageven Bezoekerscentrum,51.25093,5.41453,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:193947,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2018-06-09,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013580,Europe,BE,Oud-Heverlee vijvers,50.84146,4.65468,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:288332,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-06-02,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013624,Europe,BE,Tenhaagdoornheide,51.01705,5.41661,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:280724,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2022-05-17,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013579,Europe,BE,Smeetshof,51.20139,5.62668,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:054461,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2018-05-09,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013602,Europe,BE,Stuivekenskerke Viconia Kleiputten,51.0779,2.83584,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:228729,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2020-05-21,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013588,Europe,BE,Rangeerstation Grote Kreek,51.2948,4.36972,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:251490,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-07-21,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017429,Europe,BE,Hageven,51.25992,5.415,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:007387,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-05-24,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013588,Europe,BE,Rangeerstation Grote Kreek,51.2948,4.36972,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:210371,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2019-08-08,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017420,Europe,BE,Rode Loop - Tikkebroeken,51.27674,5.00005,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:196380,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2018-07-19,data collected in the Beekrombout project,INBO:MEETNET:LOCATION:017435,Europe,BE,Bosbeek noord,51.07434,5.67658,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:210143,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2019-05-22,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013593,Europe,BE,Waterschei Stiemerbeekvallei,50.99636,5.54381,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:248705,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2021-06-16,data collected in the Vroege glazenmaker project,INBO:MEETNET:LOCATION:013628,Europe,BE,De Luysen Mariahof,51.18246,5.66853,WGS84,707,coordinates are centroid of used grid square
visit,INBO:MEETNET:EVENT:009059,,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/y8u6e9,INBO,"Meetnetten.be - Transects for dragonflies in Flanders, Belgium",original locations available upon request,coordinates are generalized from a POLYGON to a UTM 1km grid,dragonfly transects,2017-06-26,data collected in the Variabele waterjuffer project,INBO:MEETNET:LOCATION:013585,Europe,BE,Lozerheide visvijvers,51.21227,5.54138,WGS84,707,coordinates are centroid of used grid square
