id,occurrenceID,collectionCode,basisOfRecord,recordedBy,individualCount,sex,lifeStage,behavior,occurrenceStatus,occurrenceRemarks,scientificName,kingdom,phylum,class,order,taxonRank,vernacularName,nomenclaturalCode
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624524,meetnetten,HumanObservation,https://meetnetten.be,0,unknown,adult,copula,absent,target species,Coenagrion pulchellum,Animalia,Arthropoda,Insecta,Odonata,species,Variabele waterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624525,meetnetten,HumanObservation,https://meetnetten.be,0,female,adult,egg laying,absent,target species,Coenagrion pulchellum,Animalia,Arthropoda,Insecta,Odonata,species,Variabele waterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624526,meetnetten,HumanObservation,https://meetnetten.be,0,unknown,exuviae,present,absent,target species,Coenagrion pulchellum,Animalia,Arthropoda,Insecta,Odonata,species,Variabele waterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624518,meetnetten,HumanObservation,https://meetnetten.be,2,female,adult,present,present,casual observation,Coenagrion puella,Animalia,Arthropoda,Insecta,Odonata,species,Azuurwaterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624519,meetnetten,HumanObservation,https://meetnetten.be,2,female,adult,egg laying,present,casual observation,Coenagrion puella,Animalia,Arthropoda,Insecta,Odonata,species,Azuurwaterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624520,meetnetten,HumanObservation,https://meetnetten.be,1,unknown,adult,copula,present,casual observation,Erythromma najas,Animalia,Arthropoda,Insecta,Odonata,species,Grote roodoogjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624521,meetnetten,HumanObservation,https://meetnetten.be,0,female,adult,present,absent,target species,Coenagrion pulchellum,Animalia,Arthropoda,Insecta,Odonata,species,Variabele waterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624522,meetnetten,HumanObservation,https://meetnetten.be,0,unknown,adult,present,absent,target species,Coenagrion pulchellum,Animalia,Arthropoda,Insecta,Odonata,species,Variabele waterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624523,meetnetten,HumanObservation,https://meetnetten.be,0,unknown,imago,present,absent,target species,Coenagrion pulchellum,Animalia,Arthropoda,Insecta,Odonata,species,Variabele waterjuffer,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624512,meetnetten,HumanObservation,https://meetnetten.be,4,unknown,adult,present,present,casual observation,Orthetrum cancellatum,Animalia,Arthropoda,Insecta,Odonata,species,Gewone oeverlibel,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624513,meetnetten,HumanObservation,https://meetnetten.be,1,male,adult,present,present,casual observation,Anax imperator,Animalia,Arthropoda,Insecta,Odonata,species,Grote keizerlibel,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624514,meetnetten,HumanObservation,https://meetnetten.be,1,female,adult,present,present,casual observation,Anax imperator,Animalia,Arthropoda,Insecta,Odonata,species,Grote keizerlibel,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624515,meetnetten,HumanObservation,https://meetnetten.be,4,unknown,adult,present,present,casual observation,Ischnura elegans,Animalia,Arthropoda,Insecta,Odonata,species,Lantaarntje,ICZN
INBO:MEETNET:EVENT:189732,INBO:MEETNET:OCC:0624516,meetnetten,HumanObservation,https://meetnetten.be,1,unknown,adult,present,present,casual observation,Aeshna isoceles,Animalia,Arthropoda,Insecta,Odonata,species,Vroege glazenmaker,ICZN
