id	collectionCode	basisOfRecord	occurrenceID	recordedBy	individualCount	sex	lifeStage	behavior	occurrenceStatus	occurrenceRemarks	eventID	scientificName	kingdom	phylum	class	order	taxonRank	vernacularName	nomenclaturalCode
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624524	https://meetnetten.be	0	unknown	adult	copula	absent	target species	INBO:MEETNET:EVENT:189732	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624525	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:189732	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624526	https://meetnetten.be	0	unknown	exuviae	present	absent	target species	INBO:MEETNET:EVENT:189732	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624518	https://meetnetten.be	2	female	adult	present	present	casual observation	INBO:MEETNET:EVENT:189732	Coenagrion puella	Animalia	Arthropoda	Insecta	Odonata	species	Azuurwaterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624519	https://meetnetten.be	2	female	adult	egg laying	present	casual observation	INBO:MEETNET:EVENT:189732	Coenagrion puella	Animalia	Arthropoda	Insecta	Odonata	species	Azuurwaterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624520	https://meetnetten.be	1	unknown	adult	copula	present	casual observation	INBO:MEETNET:EVENT:189732	Erythromma najas	Animalia	Arthropoda	Insecta	Odonata	species	Grote roodoogjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624521	https://meetnetten.be	0	female	adult	present	absent	target species	INBO:MEETNET:EVENT:189732	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624522	https://meetnetten.be	0	unknown	adult	present	absent	target species	INBO:MEETNET:EVENT:189732	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624523	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:189732	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624512	https://meetnetten.be	4	unknown	adult	present	present	casual observation	INBO:MEETNET:EVENT:189732	Orthetrum cancellatum	Animalia	Arthropoda	Insecta	Odonata	species	Gewone oeverlibel	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624513	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:189732	Anax imperator	Animalia	Arthropoda	Insecta	Odonata	species	Grote keizerlibel	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624514	https://meetnetten.be	1	female	adult	present	present	casual observation	INBO:MEETNET:EVENT:189732	Anax imperator	Animalia	Arthropoda	Insecta	Odonata	species	Grote keizerlibel	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624515	https://meetnetten.be	4	unknown	adult	present	present	casual observation	INBO:MEETNET:EVENT:189732	Ischnura elegans	Animalia	Arthropoda	Insecta	Odonata	species	Lantaarntje	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624516	https://meetnetten.be	1	unknown	adult	present	present	casual observation	INBO:MEETNET:EVENT:189732	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624517	https://meetnetten.be	6	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:189732	Coenagrion puella	Animalia	Arthropoda	Insecta	Odonata	species	Azuurwaterjuffer	ICZN
INBO:MEETNET:EVENT:189732	meetnetten	HumanObservation	INBO:MEETNET:OCC:0624511	https://meetnetten.be	3	male	adult	present	present	target species	INBO:MEETNET:EVENT:189732	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751235	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751236	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751237	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751238	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751239	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751240	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751247	https://meetnetten.be	0	female	adult	egg laying	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751248	https://meetnetten.be	0	unknown	exuviae	present	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
